child,parent1,parent2
Lamball,Mau,Vixy
Lamball,Teafant,Vixy
Lamball,Chikipi,Mau Cryst
Lamball,Chikipi,Lifmunk
Lamball,Mau,Cattiva
Lamball,Lamball,Cattiva
Lamball,Mau,Cremis
Lamball,Teafant,Mau Cryst
Lamball,Teafant,Cremis
Lamball,Lamball,Lamball
Lamball,Herbil,Chikipi
Lamball,Herbil,Teafant
Cattiva,Teafant,Lifmunk
Cattiva,Chikipi,Hangyu Cryst
Cattiva,Chikipi,Hangyu
Cattiva,Cattiva,Cremis
Cattiva,Cattiva,Cattiva
Cattiva,Lamball,Cremis
Cattiva,Lamball,Vixy
Cattiva,Mau,Mau Cryst
Cattiva,Herbil,Mau
Cattiva,Herbil,Lamball
Chikipi,Chikipi,Chikipi
Lifmunk,Mau,Hoocrates
Lifmunk,Vixy,Flambelle
Lifmunk,Vixy,Hangyu Cryst
Lifmunk,Vixy,Hangyu
Lifmunk,Teafant,Jolthog Cryst
Lifmunk,Mau,Jolthog
Lifmunk,Teafant,Jolthog
Lifmunk,Sparkit,Mau Cryst
Lifmunk,Sparkit,Cremis
Lifmunk,Sparkit,Vixy
Lifmunk,Foxparks,Cremis
Lifmunk,Foxparks,Vixy
Lifmunk,Lifmunk,Hangyu Cryst
Lifmunk,Lifmunk,Hangyu
Lifmunk,Lifmunk,Mau Cryst
Lifmunk,Lifmunk,Lifmunk
Lifmunk,Chikipi,Jolthog Cryst
Lifmunk,Chikipi,Jolthog
Lifmunk,Chikipi,Pengullet
Lifmunk,Cattiva,Flambelle
Lifmunk,Cattiva,Hoocrates
Lifmunk,Cattiva,Sparkit
Lifmunk,Cattiva,Foxparks
Lifmunk,Lamball,Depresso
Lifmunk,Lamball,Hoocrates
Lifmunk,Lamball,Foxparks
Lifmunk,Mau Cryst,Hangyu Cryst
Lifmunk,Mau Cryst,Hangyu
Lifmunk,Cremis,Flambelle
Lifmunk,Mau,Depresso
Lifmunk,Teafant,Depresso
Lifmunk,Herbil,Hangyu Cryst
Lifmunk,Herbil,Hangyu
Lifmunk,Herbil,Sparkit
Lifmunk,Herbil,Flambelle
Lifmunk,Jellroy,Lamball
Lifmunk,Jellroy,Cattiva
Lifmunk,Jellroy,Cremis
Lifmunk,Jelliette,Mau
Lifmunk,Jelliette,Lamball
Foxparks,Jolthog Cryst,Mau Cryst
Foxparks,Pengullet,Vixy
Foxparks,Sparkit,Hoocrates
Foxparks,Foxparks,Foxparks
Foxparks,Lifmunk,Jolthog
Foxparks,Chikipi,Swee
Foxparks,Cattiva,Tocotoco
Foxparks,Lamball,Fuack
Foxparks,Mau,Bristla
Foxparks,Cremis,Tocotoco
Foxparks,Depresso,Hangyu Cryst
Foxparks,Depresso,Hangyu
Foxparks,Teafant,Ribbuny
Foxparks,Hoocrates,Flambelle
Foxparks,Teafant,Foxparks Cryst
Foxparks,Herbil,Pengullet
Foxparks,Jellroy,Flambelle
Foxparks,Jellroy,Foxparks
Foxparks,Jelliette,Sparkit
Foxparks,Munchill,Cattiva
Foxparks,Pengullet Lux,Teafant
Foxparks,Finsider,Chikipi
Foxparks Cryst,Foxparks,Foxcicle
Foxparks Cryst,Foxparks Cryst,Foxparks Cryst
Fuack,Vixy,Dazzi
Fuack,Gumoss,Hangyu Cryst
Fuack,Gumoss,Hangyu
Fuack,Jolthog Cryst,Swee
Fuack,Jolthog,Killamari
Fuack,Pengullet,Ribbuny
Fuack,Tanzee,Flambelle
Fuack,Sparkit,Tanzee
Fuack,Fuack,Fuack
Fuack,Foxparks,Kelpsea
Fuack,Lifmunk,Daedream
Fuack,Chikipi,Wixen
Fuack,Chikipi,Rooby
Fuack,Lamball,Woolipop
Fuack,Tocotoco,Bristla
Fuack,Fuddler,Mau Cryst
Fuack,Mau,Nox
Fuack,Daedream,Hangyu Cryst
Fuack,Depresso,Flopie
Fuack,Hoocrates,Kelpsea Ignis
Fuack,Cattiva,Mimog
Fuack,Cremis,Mimog
Fuack,Cremis,Ribbuny Botan
Fuack,Vixy,Ribbuny Botan
Fuack,Sparkit,Smokie
Fuack,Pengullet,Foxparks Cryst
Fuack,Herbil,Dazzi
Fuack,Jellroy,Kelpsea
Fuack,Jelliette,Kelpsea Ignis
Fuack,Munchill,Bristla
Fuack,Pengullet Lux,Pengullet
Fuack,Finsider,Jolthog Cryst
Fuack,Fuack Ignis,Jolthog
Fuack,Finsider Ignis,Flambelle
Fuack,Finsider Ignis,Foxparks
Fuack,Killamari Primo,Sparkit
Fuack,Killamari Primo,Flambelle
Fuack,Gloopie,Cattiva
Fuack Ignis,Fuack,Flambelle
Fuack Ignis,Fuack Ignis,Fuack Ignis
Sparkit,Jolthog Cryst,Cremis
Sparkit,Jolthog,Cremis
Sparkit,Jolthog,Vixy
Sparkit,Sparkit,Flambelle
Sparkit,Sparkit,Sparkit
Sparkit,Teafant,Fuack
Sparkit,Foxparks,Hangyu Cryst
Sparkit,Foxparks,Hangyu
Sparkit,Lifmunk,Hoocrates
Sparkit,Chikipi,Bristla
Sparkit,Cattiva,Jolthog Cryst
Sparkit,Lamball,Pengullet
Sparkit,Mau,Tocotoco
Sparkit,Depresso,Mau Cryst
Sparkit,Hangyu Cryst,Flambelle
Sparkit,Hangyu,Flambelle
Sparkit,Herbil,Depresso
Sparkit,Herbil,Jolthog
Sparkit,Jellroy,Lifmunk
Sparkit,Jellroy,Hangyu Cryst
Sparkit,Jellroy,Hangyu
Sparkit,Jelliette,Mau Cryst
Sparkit,Jelliette,Lifmunk
Sparkit,Munchill,Teafant
Sparkit,Munchill,Mau
Tanzee,Vixy,Vaelet
Tanzee,Gumoss,Kelpsea
Tanzee,Jolthog Cryst,Leezpunk Ignis
Tanzee,Jolthog,Rushoar
Tanzee,Pengullet,Maraith
Tanzee,Rooby,Tocotoco
Tanzee,Rooby,Pengullet
Tanzee,Tanzee,Tanzee
Tanzee,Sparkit,Gobfin
Tanzee,Foxparks,Gobfin Ignis
